Time (s),x-body [wc] (m),y-body [wc] (m),z-body [wc] (m),x-rot-body [wc] (rad),y-rot-body [wc] (rad),z-rot-body [wc] (rad),x-vel-body [bc] (m/s), y-vel-body [bc] (m/s), z-vel-body [bc] (m/s),x-rotvel-body [bc] (rad/s), y-rotvel-body [bc] (rad/s), z-rotvel-body [bc] (rad/s),x-acc-body [bc] (m/s^2), y-acc-body [bc] (m/s^2), z-acc-body [bc] (m/s^2),x-rotacc-body [bc] (rad/s^2), y-rotacc-body [bc] (rad/s^2), z-rotacc-body [bc] (rad/s^2),x-jerk-body [bc] (m/s^3), y-jerk-body [bc] (m/s^3), z-jerk-body [bc] (m/s^3),x-rotjerk-body [bc] (rad/s^3), y-rotjerk-body [bc] (rad/s^3), z-rotjerk-body [bc] (rad/s^3),number of modules (-),x-module-0 [bc] (m), y-module-0 [bc] (m), z-module-0 [bc] (m),x-rot-module-0 [bc] (rad), y-rot-module-0 [bc] (rad), z-rot-module-0 [bc] (rad),x-vel-module-0 [mc] (m/s), y-vel-module-0 [mc] (m/s), z-vel-module-0 [mc] (m/s),x-rotvel-module-0 [bc] (rad/s), y-rotvel-module-0 [bc] (rad/s), z-rotvel-module-0 [bc] (rad/s),x-acc-module-0 [mc] (m/s^2), y-acc-module-0 [mc] (m/s^2), z-acc-module-0 [mc] (m/s^2),x-rotacc-module-0 [bc] (rad/s^2), y-rotacc-module-0 [bc] (rad/s^2), z-rotacc-module-0 [bc] (rad/s^2),x-jerk-module-0 [mc] (m/s^3), y-jerk-module-0 [mc] (m/s^3), z-jerk-module-0 [mc] (m/s^3),x-rotjerk-module-0 [bc] (rad/s^3), y-rotjerk-module-0 [bc] (rad/s^3), z-rotjerk-module-0 [bc] (rad/s^3),x-module-1 [bc] (m), y-module-1 [bc] (m), z-module-1 [bc] (m),x-rot-module-1 [bc] (rad), y-rot-module-1 [bc] (rad), z-rot-module-1 [bc] (rad),x-vel-module-1 [mc] (m/s), y-vel-module-1 [mc] (m/s), z-vel-module-1 [mc] (m/s),x-rotvel-module-1 [bc] (rad/s), y-rotvel-module-1 [bc] (rad/s), z-rotvel-module-1 [bc] (rad/s),x-acc-module-1 [mc] (m/s^2), y-acc-module-1 [mc] (m/s^2), z-acc-module-1 [mc] (m/s^2),x-rotacc-module-1 [bc] (rad/s^2), y-rotacc-module-1 [bc] (rad/s^2), z-rotacc-module-1 [bc] (rad/s^2),x-jerk-module-1 [mc] (m/s^3), y-jerk-module-1 [mc] (m/s^3), z-jerk-module-1 [mc] (m/s^3),x-rotjerk-module-1 [bc] (rad/s^3), y-rotjerk-module-1 [bc] (rad/s^3), z-rotjerk-module-1 [bc] (rad/s^3),x-module-2 [bc] (m), y-module-2 [bc] (m), z-module-2 [bc] (m),x-rot-module-2 [bc] (rad), y-rot-module-2 [bc] (rad), z-rot-module-2 [bc] (rad),x-vel-module-2 [mc] (m/s), y-vel-module-2 [mc] (m/s), z-vel-module-2 [mc] (m/s),x-rotvel-module-2 [bc] (rad/s), y-rotvel-module-2 [bc] (rad/s), z-rotvel-module-2 [bc] (rad/s),x-acc-module-2 [mc] (m/s^2), y-acc-module-2 [mc] (m/s^2), z-acc-module-2 [mc] (m/s^2),x-rotacc-module-2 [bc] (rad/s^2), y-rotacc-module-2 [bc] (rad/s^2), z-rotacc-module-2 [bc] (rad/s^2),x-jerk-module-2 [mc] (m/s^3), y-jerk-module-2 [mc] (m/s^3), z-jerk-module-2 [mc] (m/s^3),x-rotjerk-module-2 [bc] (rad/s^3), y-rotjerk-module-2 [bc] (rad/s^3), z-rotjerk-module-2 [bc] (rad/s^3),x-module-3 [bc] (m), y-module-3 [bc] (m), z-module-3 [bc] (m),x-rot-module-3 [bc] (rad), y-rot-module-3 [bc] (rad), z-rot-module-3 [bc] (rad),x-vel-module-3 [mc] (m/s), y-vel-module-3 [mc] (m/s), z-vel-module-3 [mc] (m/s),x-rotvel-module-3 [bc] (rad/s), y-rotvel-module-3 [bc] (rad/s), z-rotvel-module-3 [bc] (rad/s),x-acc-module-3 [mc] (m/s^2), y-acc-module-3 [mc] (m/s^2), z-acc-module-3 [mc] (m/s^2),x-rotacc-module-3 [bc] (rad/s^2), y-rotacc-module-3 [bc] (rad/s^2), z-rotacc-module-3 [bc] (rad/s^2),x-jerk-module-3 [mc] (m/s^3), y-jerk-module-3 [mc] (m/s^3), z-jerk-module-3 [mc] (m/s^3),x-rotjerk-module-3 [bc] (rad/s^3), y-rotjerk-module-3 [bc] (rad/s^3), z-rotjerk-module-3 [bc] (rad/s^3),
0.01,0.009646640657437226,-0.994874231735265,0.0,0.0,0.0,0.005320086444696872,0.6781176472418472,1.0148750013340666,0.0,0.0,0.0,-0.19261977250062545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.5,0.5,0.0,0.0,0.0,0.7853984487692863,0.8885788077604451,0.0,0.0,0.0,0.0,-0.0005404528374721127,-0.0006249954728158702,0.0,0.0,0.0,0.0,0.21164626740905082,0.24401187415233921,0.0,0.0,0.0,0.0,-35.27437790453115,-0.5,0.5,0.0,0.0,0.0,1.1780976209098728,0.888578690309085,0.0,0.0,0.0,0.0,-1505.3462989598258,-0.0006658735719744127,0.0,0.0,0.0,0.0,589048.5515267145,0.2600746968798875,0.0,0.0,0.0,0.0,-98174758.58778577,-0.5,-0.5,0.0,0.0,0.0,1.6417450419372652,1.9869197952311428,0.0,0.0,0.0,0.0,-1505.3465005858982,0.0002763651443363713,0.0,0.0,0.0,0.0,589048.6306009222,-0.10912538453761206,0.0,0.0,0.0,0.0,-98174771.76682036,0.5,-0.5,0.0,0.0,0.0,0.32175034987020645,1.9869198477569985,0.0,0.0,0.0,0.0,0.00012193829239097047,0.0002946463898166395,0.0,0.0,0.0,0.0,-0.04769712985549894,-0.11630889876008998,0.0,0.0,0.0,0.0,7.949521641633545,
0.02,0.019265884683101663,-0.9896972145273197,0.0,0.0,0.0,0.010640178975636858,1.2566389262333024,1.2066884350070417e-07,0.0,0.0,0.0,1.2566382786886228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.5,0.5,0.0,0.0,0.0,0.7853977441236423,0.8885779915683868,0.0,0.0,0.0,0.0,-0.0001877090584630733,-0.0002183090158963704,0.0,0.0,0.0,0.0,0.1410975115999885,0.1626745827671605,0.0,0.0,0.0,0.0,-35.27437790453115,-0.5,0.5,0.0,0.0,0.0,-0.7853975520733982,0.8885778209169578,0.0,0.0,0.0,0.0,-523.5987130819683,-0.00023241574384369747,0.0,0.0,0.0,0.0,392699.03435114294,0.1733831312508275,0.0,0.0,0.0,0.0,-98174758.58778577,-0.5,-0.5,0.0,0.0,0.0,-0.32175039372178055,1.9869201539607477,0.0,0.0,0.0,0.0,-523.5987829176943,9.448950342761213e-05,0.0,0.0,0.0,0.0,392699.08706728136,-0.07275025637114707,0.0,0.0,0.0,0.0,-98174771.76682036,0.5,-0.5,0.0,0.0,0.0,0.3217505089518937,1.9869202302784026,0.0,0.0,0.0,0.0,4.244307596323967e-05,0.00010079822521481105,0.0,0.0,0.0,0.0,-0.03179808657223184,-0.0775392658417384,0.0,0.0,0.0,0.0,7.949521641633545,
0.03,0.031014756185550902,-0.9904961754979742,0.0,0.0,0.0,0.024169659175370017,1.0885873241344912,-0.2165333586106059,0.0,0.0,0.0,1.4492577612580093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.5,0.5,0.0,0.0,0.0,0.7853976038680447,0.8885778260746596,0.0,0.0,0.0,0.0,2.3937208927841405e-05,2.570285825277193e-05,0.0,0.0,0.0,0.0,0.07054875579092618,0.08133729138198179,0.0,0.0,0.0,0.0,-35.27437790453115,-0.5,0.5,0.0,0.0,0.0,-1.1780965876520966,0.8885776450573555,0.0,0.0,0.0,0.0,65.44983844474609,2.7658953028897534e-05,0.0,0.0,0.0,0.0,196349.51717557138,0.08669156562176748,0.0,0.0,0.0,0.0,-98174758.58778577,-0.5,-0.5,0.0,0.0,0.0,-0.7144494811117001,1.9869202216893274,0.0,0.0,0.0,0.0,65.44984768322784,-1.4635881148217045e-05,0.0,0.0,0.0,0.0,196349.54353364065,-0.03637512820468208,0.0,0.0,0.0,0.0,-98174771.76682036,0.5,-0.5,0.0,0.0,0.0,0.32175054084123467,1.9869203026427433,0.0,0.0,0.0,0.0,-5.2540538979569196e-06,-1.5510673550314155e-05,0.0,0.0,0.0,0.0,-0.015899043288964746,-0.0387696329233868,0.0,0.0,0.0,0.0,7.949521641633545,
0.04,0.042773361567051485,-0.9911361120752225,0.0,0.0,0.0,0.037699139350660424,1.2566389187441733,1.2018423156678892e-07,0.0,0.0,0.0,1.2566382738000725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.5,0.5,0.0,0.0,0.0,0.7853977458074702,0.888577985930098,0.0,0.0,0.0,0.0,9.448596470063145e-05,0.0001070401496315568,0.0,0.0,0.0,0.0,-1.8136117607703284e-11,-3.196901077195946e-12,0.0,0.0,0.0,0.0,-35.27437790453115,-0.5,0.5,0.0,0.0,0.0,-0.7853975545285095,0.8885778159640157,0.0,0.0,0.0,0.0,261.79935562031733,0.0001143505186433725,0.0,0.0,0.0,0.0,-1.1641532182693481e-10,-7.29249993725034e-12,0.0,0.0,0.0,0.0,-98174758.58778577,-0.5,-0.5,0.0,0.0,0.0,-0.321750394367057,1.986920143917394,0.0,0.0,0.0,0.0,261.79939121686846,-5.101100939111623e-05,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,-3.821711003215711e-11,0.0,0.0,0.0,0.0,-98174771.76682036,0.5,-0.5,0.0,0.0,0.0,0.3217505091344025,1.9869202199285523,0.0,0.0,0.0,0.0,-2.115309719261932e-05,-5.428030647873618e-05,0.0,0.0,0.0,0.0,-5.6976576234823995e-12,-5.035229178051992e-12,0.0,0.0,0.0,0.0,7.949521641633545,
0.05,0.05532387875560467,-0.9905047207231051,0.0,0.0,0.0,0.05026552207643978,1.2566389149996082,1.1994192414266358e-07,0.0,0.0,0.0,1.2566382713557984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.5,0.5,0.0,0.0,0.0,0.7853977466493839,0.8885779831109536,0.0,0.0,0.0,0.0,4.209569605101923e-07,-1.4095722122952458e-06,0.0,0.0,0.0,0.0,-1.2424971993339193e-11,-1.0930012420390969e-19,0.0,0.0,0.0,0.0,4.831894945560362e-09,-0.5,0.5,0.0,0.0,0.0,-0.7853975557560666,0.8885778134875445,0.0,0.0,0.0,0.0,-6.137783690416026e-07,-1.23823551746331e-06,0.0,0.0,0.0,0.0,6.212485965397163e-12,-9.601444737327147e-20,0.0,0.0,0.0,0.0,1.1358857810441974e-08,-0.5,-0.5,0.0,0.0,0.0,-0.3217503946896977,1.986920138895717,0.0,0.0,0.0,0.0,-1.61319958562314e-07,-2.5108384931227693e-06,0.0,0.0,0.0,0.0,7.76560749565501e-12,-3.727491620804412e-11,0.0,0.0,0.0,0.0,1.7548166601577468e-09,0.5,-0.5,0.0,0.0,0.0,0.3217505092256568,1.9869202147536271,0.0,0.0,0.0,0.0,4.5627179517157676e-08,-2.58746252123291e-06,0.0,0.0,0.0,0.0,-4.6593645021677995e-12,-3.727491621398561e-11,0.0,0.0,0.0,0.0,4.605836283400951e-09,
0.060000000000000005,0.06786547087241113,-0.9897156687766263,0.0,0.0,0.0,0.06283190477777639,1.2566389112550436,1.1969961724589417e-07,0.0,0.0,0.0,1.256638268911524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.5,0.5,0.0,0.0,0.0,0.7853977474912978,0.8885779802918092,0.0,0.0,0.0,0.0,4.2095694532403824e-07,-1.4095722022734783e-06,0.0,0.0,0.0,0.0,-2.7611821022184622e-12,1.002176756841212e-11,0.0,0.0,0.0,0.0,4.831894945560362e-09,-0.5,0.5,0.0,0.0,0.0,-0.7853975569836233,0.8885778110110735,0.0,0.0,0.0,0.0,-6.13778333898915e-07,-1.238235507441543e-06,0.0,0.0,0.0,0.0,2.8930201586281123e-11,1.002176702499734e-11,0.0,0.0,0.0,0.0,1.1358857810441974e-08,-0.5,-0.5,0.0,0.0,0.0,-0.3217503950123376,1.9869201338740399,0.0,0.0,0.0,0.0,-1.6131993952146568e-07,-2.510838533023513e-06,0.0,0.0,0.0,0.0,1.1275240815970503e-11,-2.625827157281036e-12,0.0,0.0,0.0,0.0,1.7548166601577468e-09,0.5,-0.5,0.0,0.0,0.0,0.3217505093169111,1.986920209578702,0.0,0.0,0.0,0.0,4.562717941010124e-08,-2.5874625981410867e-06,0.0,0.0,0.0,0.0,4.552308064634107e-12,-3.9633260600202535e-11,0.0,0.0,0.0,0.0,4.605836283400951e-09,
0.07,0.08039615745102212,-0.9887690808377166,0.0,0.0,0.0,0.07539828745467025,1.256638907510479,1.194573104323915e-07,0.0,0.0,0.0,1.2566382664672497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.5,0.5,0.0,0.0,0.0,0.7853977483332117,0.8885779774726649,0.0,0.0,0.0,0.0,4.209569642269239e-07,-1.4095721191308761e-06,0.0,0.0,0.0,0.0,-1.2408382308042716e-11,-6.204191658286441e-12,0.0,0.0,0.0,0.0,-9.748299331098671e-10,-0.5,0.5,0.0,0.0,0.0,-0.7853975582111798,0.8885778085346027,0.0,0.0,0.0,0.0,-6.137782687614447e-07,-1.2382354559701475e-06,0.0,0.0,0.0,0.0,1.861257346685614e-11,-6.2041916117865795e-12,0.0,0.0,0.0,0.0,-1.4074629313763732e-08,-0.5,-0.5,0.0,0.0,0.0,-0.32175039533497746,1.9869201288523628,0.0,0.0,0.0,0.0,-1.6131992612641674e-07,-2.5108384238076827e-06,0.0,0.0,0.0,0.0,3.1020955698646735e-12,-1.2408383103716414e-11,0.0,0.0,0.0,0.0,-5.174508004798394e-09,0.5,-0.5,0.0,0.0,0.0,0.32175050940816563,1.9869202044037775,0.0,0.0,0.0,0.0,4.5627211475515886e-08,-2.587462587662524e-06,0.0,0.0,0.0,0.0,-7.755239015676634e-12,-6.204191294284851e-11,0.0,0.0,0.0,0.0,-1.7614468162150995e-09,
0.08,0.09291395974712639,-0.9876651063851116,0.0,0.0,0.0,0.08796467010712138,1.256638903765914,1.192150035078665e-07,0.0,0.0,0.0,1.2566382640229752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.5,0.5,0.0,0.0,0.0,0.7853977491751256,0.8885779746535206,0.0,0.0,0.0,0.0,4.2095693746049945e-07,-1.4095721516301037e-06,0.0,0.0,0.0,0.0,-1.435804217426245e-11,-2.6295035934833296e-11,0.0,0.0,0.0,0.0,-9.748299331098671e-10,-0.5,0.5,0.0,0.0,0.0,-0.7853975594387363,0.8885778060581317,0.0,0.0,0.0,0.0,-6.137782596855565e-07,-1.2382354769258623e-06,0.0,0.0,0.0,0.0,-9.5366851606713e-12,-1.475152308091151e-11,0.0,0.0,0.0,0.0,-1.4074629313763732e-08,-0.5,-0.5,0.0,0.0,0.0,-0.3217503956576173,1.986920123830686,0.0,0.0,0.0,0.0,-1.613199302712416e-07,-2.510838455634899e-06,0.0,0.0,0.0,0.0,-7.2469204397321055e-12,-1.9418833106019595e-11,0.0,0.0,0.0,0.0,-5.174508004798394e-09,0.5,-0.5,0.0,0.0,0.0,0.32175050949942,1.986920199228852,0.0,0.0,0.0,0.0,4.562719244214422e-08,-2.5874626817671953e-06,0.0,0.0,0.0,0.0,-1.127813264810683e-11,-3.2062758504550046e-11,0.0,0.0,0.0,0.0,-1.7614468162150995e-09,
0.09,0.1054169010510174,-0.9864039197507467,0.0,0.0,0.0,0.10053105273512976,1.2566389000213491,1.1897269641680808e-07,0.0,0.0,0.0,1.2566382615787013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.5,0.5,0.0,0.0,0.0,0.7853977500170398,0.8885779718343765,0.0,0.0,0.0,0.0,4.2095696051890124e-07,-1.4095722145081501e-06,0.0,0.0,0.0,0.0,1.305662406756052e-19,-1.2412169691976569e-11,0.0,0.0,0.0,0.0,4.834547311718759e-09,-0.5,0.5,0.0,0.0,0.0,-0.7853975606662932,0.8885778035816609,0.0,0.0,0.0,0.0,-6.137783975745546e-07,-1.2382355203397832e-06,0.0,0.0,0.0,0.0,-1.2412169445148911e-11,-2.4824338893609912e-11,0.0,0.0,0.0,0.0,1.2513095123524381e-08,-0.5,-0.5,0.0,0.0,0.0,-0.3217503959802574,1.9869201188090095,0.0,0.0,0.0,0.0,-1.6131995782899246e-07,-2.5108384266238444e-06,0.0,0.0,0.0,0.0,3.1030422636581463e-12,-1.2412170098143112e-11,0.0,0.0,0.0,0.0,5.912612201707168e-10,0.5,-0.5,0.0,0.0,0.0,0.3217505095906744,1.9869201940539265,0.0,0.0,0.0,0.0,4.562717953797535e-08,-2.587462578232668e-06,0.0,0.0,0.0,0.0,-4.654563456389072e-12,-1.2412170121909266e-11,0.0,0.0,0.0,0.0,4.609951369035951e-09,
0.09999999999999999,0.1179030069997393,-0.9849857200922278,0.0,0.0,0.0,0.1130974353386954,1.256638896276784,1.1873038943677194e-07,0.0,0.0,0.0,1.256638259134427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.5,0.5,0.0,0.0,0.0,0.7853977508589538,0.888577969015232,0.0,0.0,0.0,0.0,4.209569701879961e-07,-1.4095722223341503e-06,0.0,0.0,0.0,0.0,9.669094754003751e-12,4.586169568089249e-12,0.0,0.0,0.0,0.0,4.834547311718759e-09,-0.5,0.5,0.0,0.0,0.0,-0.78539756189385,0.8885778011051899,0.0,0.0,0.0,0.0,-6.137783973727032e-07,-1.2382355506394405e-06,0.0,0.0,0.0,0.0,1.2614020801899832e-11,-5.4753184079111154e-12,0.0,0.0,0.0,0.0,1.2513095123524381e-08,-0.5,-0.5,0.0,0.0,0.0,-0.3217503963028973,1.9869201137873327,0.0,0.0,0.0,0.0,-1.613199504403855e-07,-2.5108384491068157e-06,0.0,0.0,0.0,0.0,4.285564703999579e-12,-1.0070801330850891e-11,0.0,0.0,0.0,0.0,5.912612201707168e-10,0.5,-0.5,0.0,0.0,0.0,0.32175050968192875,1.9869201888790013,0.0,0.0,0.0,0.0,4.5627179448751176e-08,-2.587462600764996e-06,0.0,0.0,0.0,0.0,4.5653392816828225e-12,-1.012015818161363e-11,0.0,0.0,0.0,0.0,4.609951369035951e-09,
